latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,source,temp_c,datetime,dt_nearest_hour
34.19806,-118.15755,296.4,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,282.23,2.0,N,J2,9.080000000000041,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19453,-118.14021,299.93,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,285.68,2.88,N,J2,12.53000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.1943,-118.1327,301.85,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.06,2.88,N,J2,11.910000000000025,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.19196,-118.05694,296.05,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,282.3,1.18,N,J2,9.150000000000034,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18415,-118.02006,345.75,0.63,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.02,12.43,N,J2,11.870000000000005,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18833,-118.15644,298.34,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,282.18,2.05,N,J2,9.03000000000003,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18811,-118.14909,297.87,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,283.45,2.05,N,J2,10.300000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18766,-118.13443,303.04,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,284.45,2.88,N,J2,11.300000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18744,-118.12722,301.68,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,284.53,3.03,N,J2,11.379999999999995,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18723,-118.12022,296.59,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.54,3.03,N,J2,10.390000000000043,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.18101,-118.13572,295.69,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,281.5,1.33,N,J2,8.350000000000023,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.1776,-118.02348,306.93,0.63,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,283.4,2.39,N,J2,10.25,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21788,-118.15088,344.23,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,285.15,9.48,N,J2,12.0,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21819,-118.15897,311.99,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,281.16,9.48,N,J2,8.010000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21754,-118.14172,299.1,0.65,0.73,2025-01-09,08:41,N21,nominal,2.0NRT,280.65,4.31,N,J2,7.5,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.2156,-118.09071,296.5,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,280.7,1.9,N,J2,7.550000000000011,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21539,-118.08495,302.56,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,281.54,1.9,N,J2,8.390000000000043,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.21498,-118.0743,302.76,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,280.85,2.97,N,J2,7.7000000000000455,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
34.2079,-118.06344,329.61,0.64,0.72,2025-01-09,08:41,N21,nominal,2.0NRT,285.91,6.79,N,J2,12.760000000000048,2025-01-09 08:41:00+00:00,2025-01-09 09:00:00+00:00
